wlo,whi,flux
# keV,keV,phot/cm^2/s/bin
   0.18547,    0.18549,   1.6408e-10
   0.18549,    0.18550,   3.1615e-10
   0.18550,    0.18552,   2.4696e-10
   0.18552,    0.18553,   1.1238e-10
   0.18553,    0.18555,   8.6908e-11
   0.18555,    0.18556,   8.5944e-11
   0.18556,    0.18558,   8.5943e-11
   0.18558,    0.18559,   8.5942e-11
   0.18559,    0.18561,   8.6572e-11
   0.18561,    0.18562,   9.3570e-11
   0.18562,    0.18564,   1.1640e-10
   0.18564,    0.18565,   2.7941e-10
   0.18565,    0.18566,   6.2733e-10
   0.18566,    0.18568,   4.4040e-10
   0.18568,    0.18569,   1.3777e-10
   0.18569,    0.18571,   9.0470e-11
   0.18571,    0.18572,   1.1922e-10
   0.18572,    0.18574,   1.6876e-10
   0.18574,    0.18575,   1.3390e-10
   0.18575,    0.18577,   9.2992e-11
   0.18577,    0.18578,   8.7128e-11
   0.18578,    0.18580,   9.4318e-11
   0.18580,    0.18581,   1.0857e-10
   0.18581,    0.18583,   1.0432e-10
   0.18583,    0.18584,   1.0231e-10
   0.18584,    0.18586,   1.1318e-10
   0.18586,    0.18587,   1.0391e-10
   0.18587,    0.18589,   1.4903e-10
   0.18589,    0.18590,   4.8587e-10
   0.18590,    0.18592,   6.8593e-10
   0.18592,    0.18593,   2.8951e-10
   0.18593,    0.18595,   1.0098e-10
   0.18595,    0.18596,   8.6068e-11
   0.18596,    0.18598,   8.5794e-11
   0.18598,    0.18599,   8.5793e-11
   0.18599,    0.18601,   8.6132e-11
   0.18601,    0.18602,   8.7662e-11
   0.18602,    0.18604,   8.9480e-11
   0.18604,    0.18605,   1.6997e-10
   0.18605,    0.18607,   4.0662e-10
   0.18607,    0.18608,   1.8828e-10
   0.18608,    0.18610,   1.6128e-10
   0.18610,    0.18611,   2.0226e-10
   0.18611,    0.18613,   1.5267e-10
   0.18613,    0.18614,   4.7063e-10
   0.18614,    0.18616,   1.4491e-09
   0.18616,    0.18617,   1.1867e-09
   0.18617,    0.18619,   2.8500e-10
   0.18619,    0.18620,   9.3608e-11
   0.18620,    0.18622,   8.5818e-11
   0.18622,    0.18623,   8.5710e-11
   0.18623,    0.18625,   8.5841e-11
   0.18625,    0.18626,   8.6346e-11
   0.18626,    0.18628,   8.6461e-11
   0.18628,    0.18629,   8.5924e-11
   0.18629,    0.18631,   8.5694e-11
   0.18631,    0.18632,   8.5825e-11
   0.18632,    0.18634,   8.8155e-11
   0.18634,    0.18635,   9.4892e-11
   0.18635,    0.18637,   9.5529e-11
   0.18637,    0.18638,   1.1006e-10
   0.18638,    0.18640,   1.8861e-10
   0.18640,    0.18641,   2.1626e-10
   0.18641,    0.18643,   1.3127e-10
   0.18643,    0.18644,   9.2037e-11
   0.18644,    0.18646,   1.7727e-10
   0.18646,    0.18647,   7.3501e-10
   0.18647,    0.18649,   4.4483e-10
   0.18649,    0.18650,   1.2322e-10
   0.18650,    0.18652,   1.1368e-10
   0.18652,    0.18653,   1.8366e-10
   0.18653,    0.18655,   1.4871e-10
   0.18655,    0.18656,   8.8964e-11
   0.18656,    0.18658,   8.5729e-11
   0.18658,    0.18659,   8.8037e-11
   0.18659,    0.18661,   1.0265e-10
   0.18661,    0.18662,   1.2508e-10
   0.18662,    0.18664,   1.2202e-10
   0.18664,    0.18665,   1.1994e-10
   0.18665,    0.18667,   1.0888e-10
   0.18667,    0.18668,   9.8344e-11
   0.18668,    0.18670,   2.9045e-10
   0.18670,    0.18671,   8.9692e-10
   0.18671,    0.18673,   6.9087e-10
   0.18673,    0.18674,   1.6941e-10
   0.18674,    0.18676,   8.8336e-11
